X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
6.38938,48.16985,0,0,94,383,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38937667,48.169795,0,0,95,384,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38937,48.16973667,0,0,96,385,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38937,48.16968,0,0,97,386,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38936167,48.16962667,0,0,98,387,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38935833,48.169575,0,0,99,387,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38935667,48.169525,0,0,100,388,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.389355,48.16947667,0,0,101,389,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38935167,48.16943,0,0,102,389,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.389325,48.16938833,0,0,103,390,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38929667,48.16934167,0,0,104,391,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.389265,48.16930333,0,0,105,391,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38921,48.169275,0,0,106,391,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.389135,48.16925833,0,0,107,391,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38905333,48.16925333,0,0,108,391,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38897,48.169255,0,0,109,390,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38888667,48.16925833,0,0,110,390,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.388805,48.16926333,0,0,111,389,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38872167,48.16926667,0,0,112,389,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38863667,48.16927,0,0,113,388,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38855167,48.16927333,0,0,114,388,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38846667,48.16927667,0,0,115,389,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38838167,48.169285,0,0,116,389,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38829667,48.169285,0,0,117,389,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38821333,48.169285,0,0,118,390,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38812833,48.16929,0,0,119,390,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38804833,48.16930167,0,0,120,391,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38797,48.169315,0,0,121,391,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38789333,48.16932667,0,0,122,392,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38782167,48.16933667,0,0,123,392,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.387755,48.169355,0,0,124,392,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38769,48.16937167,0,0,125,393,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38763,48.16938333,0,0,126,393,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.387575,48.16938167,0,0,127,393,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38754667,48.16935667,0,0,128,394,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38755667,48.16931667,0,0,129,394,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38758833,48.16927667,0,0,130,394,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38762833,48.16923333,0,0,131,394,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.387665,48.16918333,0,0,132,394,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38769667,48.16913,0,0,133,394,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38771667,48.16907833,0,0,134,394,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38773167,48.169025,0,0,135,394,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38774333,48.16897,0,0,136,394,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38775333,48.16891833,0,0,137,395,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38775333,48.16886167,0,0,138,395,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38775167,48.16880667,0,0,139,396,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38774833,48.16875167,0,0,140,397,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.387745,48.16869833,0,0,141,397,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38774333,48.168645,0,0,142,398,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38774167,48.16859167,0,0,143,399,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38773667,48.16853333,0,0,144,399,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38773833,48.16847833,0,0,145,400,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.387735,48.16842,0,0,146,400,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38773,48.16835833,0,0,147,400,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38771833,48.16829,0,0,148,401,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.3877,48.168225,0,0,149,401,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
